name,website,note,url
"Sukhy Hullait, United Kingdom",https://www.sukhyhullait.com/,"Winner, Portraiture, Open competition 2023",https://www.worldphoto.org/team-profile/sukhy-hullait-united-kingdom
"Massimo Giovannini, Italy",https://www.massimogiovannini.com/,"2019 Sony World Photography Awards - 2nd Place, Portraiture, Professional Competition",https://www.worldphoto.org/team-profile/massimo-giovannini-italy
"Antonio Gibotta, Italy",http://vhttps://ag.antoniogibotta.com/,"2018 Sony World Photography Awards - 2nd Place, Discovery, Professional Competition",https://www.worldphoto.org/team-profile/antonio-gibotta-italy
"Paul Gisbrecht, Germany",https://www.hasselblad.com/inspiration/masters/2014/paul-gisbrecht/,"2011 Sony World Photography Awards - Winner, Conceptual, Professional Competition",https://www.worldphoto.org/team-profile/paul-gisbrecht-germany
"Ralph Gräf, Germany",https://graef-photography.de/,"2017 Sony World Photography Awards - Winner, Travel, Open Competition",https://www.worldphoto.org/team-profile/ralph-gr%C3%A4f-germany
"Jan Grarup, Denmark",https://jangrarup.photoshelter.com/,"Sony World Photography Awards 2022 - Winner, Documentary Projects, Professional Competition",https://www.worldphoto.org/team-profile/jan-grarup-denmark
"Sebastian Gil Miranda, Argentina",http://www.sebastiangilmiranda.com/,"2015 Sony World Photography Awards - Winner, Campaign, Professional Competition",https://www.worldphoto.org/team-profile/sebastian-gil-miranda-argentina
"Markus van Hauten, Germany",https://www.van-hauten.eu/,"2016 Sony World Photography Awards - Category Winner, Panoramic, Open Competition",https://www.worldphoto.org/team-profile/markus-van-hauten-germany
"Alessandro Grassani, Italy",https://www.alessandrograssani.com/,"2019 Sony World Photography Awards - Winner, Sport, Professional Competition",https://www.worldphoto.org/team-profile/alessandro-grassani-italy
"Arup Ghosh, India",http://www.arupghosh.in/,2008 Sony World Photography Awards - Open Photographer of the Year,https://www.worldphoto.org/team-profile/arup-ghosh-india
"Andrea Gjestvang, Norway ",http://andreagjestvang.com,"2013 Sony World Photography Awards - Iris d'Or and Winner, People, Professional Competition",https://www.worldphoto.org/team-profile/andrea-gjestvang-norway
"Yasen Georgiev, Bulgaria",https://www.georgievphoto.com/,"2015 Sony World Photography Awards - Category Winner, Travel, Open Competition",https://www.worldphoto.org/team-profile/yasen-georgiev-bulgaria
"Manuel Geerinck, United States",http://manuelgeerinck.com,"2012 Sony World Photography Awards - Winner, Conceptual, Professional Competition",https://www.worldphoto.org/team-profile/manuel-geerinck-united-states
"Stephan Zirwes, Germany",https://stephanzirwes.com,"2019 Sony World Photography Awards - Winner, Architecture, Professional Competition",https://www.worldphoto.org/team-profile/stephan-zirwes-germany
"Gianmaria Gava, Italy",http://www.gianmariagava.com,"2018 Sony World Photography Awards - Winner, Architecture, Professional Competition",https://www.worldphoto.org/team-profile/gianmaria-gava-italy
"Mohammad Golchin, Iran",,"2010 Sony World Photography Awards - Winner, Music, Professional Competition",https://www.worldphoto.org/team-profile/mohammad-golchin-iran
"David Zimmerman, United States",http://davidzimmerman.com,"2009 Sony World Photography Awards - Iris d'Or and Winner, Fine Art, Professional Competition",https://www.worldphoto.org/team-profile/david-zimmerman-united-states
"Kata Zih, Hungary",https://www.catatonyphoto.com/,"2021 Sony World Photography Awards - Category Winner, Object, Open Competition",https://www.worldphoto.org/team-profile/kata-zih-hungary
"Michelle Daiana Gentile, Argentina",https://www.michellegentilef.com/,2017 Sony World Photography Awards - Student Focus Winner,https://www.worldphoto.org/team-profile/michelle-daiana-gentile-argentina
"Hui Zhang, China Mainland",,"2016 Sony World Photography Awards - 2nd Place, Architecture, Professional Competition",https://www.worldphoto.org/team-profile/hui-zhang-china-mainland
"Boyuan Zhang, China Mainland",http://zhangboyuan.net/,"2019 Sony World Photography Awards - 2nd Place, Discovery, Professional Competition",https://www.worldphoto.org/team-profile/boyuan-zhang-china-mainland
"Filip Wolak, Poland",https://www.filipwolak.com/,"2016 Sony World Photography Awards - Category Winner, Architecture, Open Competition",https://www.worldphoto.org/team-profile/filip-wolak-poland
"Youqiong Zhang, China Mainland",,"2020 Sony World Photography Awards - 3rd Place, Documentary, Professional Competition",https://www.worldphoto.org/team-profile/youqiong-zhang-china-mainland
"Justyna Zdunczyk, Poland",https://justynazdunczyk.photoshelter.com/index,"2018 Sony World Photography Awards - Category Winner, Wildlife, Open Competition",https://www.worldphoto.org/team-profile/justyna-zdunczyk-poland
"Yiming Zhang, China Mainland",https://www.yimingzhangart.com/,"2019 Sony World Photography Awards - 2nd Place, Still Life, Professional Competition",https://www.worldphoto.org/team-profile/yiming-zhang-china-mainland
Homepage,,The Sony World Photography Awards closes in January - enter for free now! ,https://www.worldphoto.org/
"Pavel Wolberg, Israel/Russian Federation",https://pavelwolbergimages.com/,"2011 Sony World Photography Awards - Winner, Sport, Professional Competition",https://www.worldphoto.org/team-profile/pavel-wolberg-israelrussian-federation
"Natalia Wiernik, Poland",https://gupmagazine.com/interview/theres-only-ambiguity-an-interview-with-natalia-wiernik/,2013 Sony World Photography Awards - Student Focus Winner,https://www.worldphoto.org/team-profile/natalia-wiernik-poland
"Alain Willaume, France",http://tendancefloue.net/alainwillaume/bio/,"2011 Sony World Photography Awards - Winner, Portraiture, Professional Competition",https://www.worldphoto.org/team-profile/alain-willaume-france
"Vanessa Winship, United Kingdom",http://vanessawinship.com,"2008 Sony World Photography Awards - Iris d'Or and Winner, Portraiture, Professional Competition",https://www.worldphoto.org/team-profile/vanessa-winship-united-kingdom
"Amiran White, United Kingdom",https://www.amiranphoto.com/,"2009 Sony World Photography Awards - Winner, Music, Professional Competition",https://www.worldphoto.org/team-profile/amiran-white-united-kingdom
"Mario Wezel, Germany",https://www.mariowezel.com/,"2014 Sony World Photography Awards - Winner, People, Professional Competition",https://www.worldphoto.org/team-profile/mario-wezel-germany
"Zelle Westfall, United States",https://zellewestfall.portfoliobox.net/,2019 Sony World Photography Awards - Youth Photographer of the Year,https://www.worldphoto.org/team-profile/zelle-westfall-united-states
